[2026-08-18T16:56:44.292756+00:00] forked A-s1 sid=6224f65b-87a6-464a-9653-ebc4c3088b3a
[2026-08-18T16:56:45.159470+00:00] forked A-s2 sid=ccbde815-49e2-4349-a51f-e3d34b9704bf
[2026-08-18T16:56:46.031587+00:00] forked A-s3 sid=4b1dd1f5-8789-4b21-b757-3bd0560dc0fa
[2026-08-18T16:56:46.901525+00:00] forked A-s4 sid=05972df6-fda6-4935-b4cd-46e31d62eac7
[2026-08-18T16:56:47.774403+00:00] forked A-s5 sid=5d6177cc-a441-4e3d-97c2-2485a974c1b6
[2026-08-18T16:56:48.649854+00:00] forked B-s1 sid=34a76299-ba8b-4315-8bea-993381b15fd9
[2026-08-18T16:56:49.525307+00:00] forked B-s2 sid=363c68a9-0f15-4d75-be06-faa41d5eb466
[2026-08-18T16:56:50.395885+00:00] forked B-s3 sid=5e8092ba-c792-4240-9ada-983cdb2fa4dc
[2026-08-18T16:56:51.270952+00:00] forked B-s4 sid=ac618da1-0e37-487d-a61d-4eb4163d8833
[2026-08-18T16:56:52.146281+00:00] forked B-s5 sid=2494561b-22ed-41d0-9a20-845dbb3f05e7
[2026-08-18T16:56:53.017722+00:00] forked C-s1 sid=a864e383-e2ed-4768-bc0e-227a9ef8ce17
[2026-08-18T16:56:53.894105+00:00] forked C-s2 sid=f501cebd-e88f-4a5a-94fb-55eedbb04a8e
[2026-08-18T16:56:54.770235+00:00] forked C-s3 sid=f60d1048-156a-43a6-8518-c8c31936f480
[2026-08-18T16:56:55.638996+00:00] forked C-s4 sid=dc500b92-8876-4340-9fa7-16d10ea88f7b
[2026-08-18T16:56:56.512930+00:00] forked C-s5 sid=d6f43734-1989-4634-8b5f-b07898466117
[2026-08-18T16:56:57.384924+00:00] forked D-s1 sid=2336a902-f035-45e7-8965-407ed13b608a
[2026-08-18T16:56:58.255655+00:00] forked D-s2 sid=da8d1b14-ce7d-47ec-a086-dee582d12a3b
[2026-08-18T16:56:59.129460+00:00] forked D-s3 sid=928bd959-4dea-4bbc-8bcb-f16eb9b2d360
[2026-08-18T16:57:00.002421+00:00] forked D-s4 sid=0a5beaf2-e4d6-4225-a30f-e379e99815e5
[2026-08-18T16:57:01.018201+00:00] forked D-s5 sid=86bebba6-d5a7-4ff8-a26a-bd65b7b92eeb
[2026-08-18T16:57:01.018318+00:00] fork complete: 20 lineages
[2026-08-18T18:24:39.883065+00:00] D-s5: R2:R2P1 done ctx=44548 cost=$1.56
[2026-08-18T18:25:05.902410+00:00] D-s1: R2:R2P1 done ctx=57790 cost=$0.70
[2026-08-18T18:26:39.232638+00:00] C-s3: R2:R2P1 done ctx=88741 cost=$2.37
[2026-08-18T18:26:39.233233+00:00] probe R2P1 round 2 complete
[2026-08-18T18:26:56.350270+00:00] A-s3: R2:R2P2 done ctx=43318 cost=$1.41
[2026-08-18T18:26:59.141292+00:00] A-s2: R2:R2P2 done ctx=66286 cost=$2.40
[2026-08-18T18:26:59.856848+00:00] A-s1: R2:R2P2 done ctx=43836 cost=$2.54
[2026-08-18T18:27:12.500764+00:00] A-s4: R2:R2P2 done ctx=69045 cost=$2.74
[2026-08-18T18:27:13.818772+00:00] B-s1: R2:R2P2 done ctx=46512 cost=$1.60
[2026-08-18T18:27:17.108145+00:00] A-s5: R2:R2P2 done ctx=42922 cost=$1.69
[2026-08-18T18:27:28.537279+00:00] B-s3: R2:R2P2 done ctx=39993 cost=$1.51
[2026-08-18T18:27:30.075232+00:00] B-s4: R2:R2P2 done ctx=45139 cost=$1.44
[2026-08-18T18:27:34.050344+00:00] B-s2: R2:R2P2 done ctx=57333 cost=$1.53
[2026-08-18T18:27:45.799660+00:00] B-s5: R2:R2P2 done ctx=56426 cost=$1.66
[2026-08-18T18:27:45.954320+00:00] C-s1: R2:R2P2 done ctx=40929 cost=$1.55
[2026-08-18T18:27:51.387054+00:00] C-s2: R2:R2P2 done ctx=47263 cost=$1.19
[2026-08-18T18:28:02.909129+00:00] C-s3: R2:R2P2 done ctx=89447 cost=$2.51
[2026-08-18T18:28:08.516504+00:00] C-s4: R2:R2P2 done ctx=39259 cost=$1.34
[2026-08-18T18:28:13.973874+00:00] C-s5: R2:R2P2 done ctx=36463 cost=$1.83
[2026-08-18T18:28:23.398873+00:00] D-s2: R2:R2P2 done ctx=41365 cost=$1.12
[2026-08-18T18:28:24.488308+00:00] D-s1: R2:R2P2 done ctx=58432 cost=$0.78
[2026-08-18T18:28:33.128008+00:00] D-s3: R2:R2P2 done ctx=45200 cost=$1.72
[2026-08-18T18:28:37.587301+00:00] D-s4: R2:R2P2 done ctx=42268 cost=$1.03
[2026-08-18T18:28:43.598652+00:00] D-s5: R2:R2P2 done ctx=45669 cost=$1.62
[2026-08-18T18:28:43.599085+00:00] probe R2P2 round 2 complete
[2026-08-18T18:29:00.437354+00:00] A-s3: R2:R2P3 done ctx=44601 cost=$1.42
[2026-08-18T18:29:45.005801+00:00] A-s4: R2:R2P3 done ctx=78106 cost=$2.84
[2026-08-18T18:30:15.916813+00:00] A-s2: R2:R2P3 done ctx=81105 cost=$2.62
[2026-08-18T18:30:27.918584+00:00] B-s1: R2:R2P3 done ctx=48967 cost=$1.61
[2026-08-18T18:30:43.330715+00:00] A-s1: R2:R2P3 done ctx=63751 cost=$2.80
[2026-08-18T18:31:28.646980+00:00] A-s5: R2:R2P3 done ctx=64736 cost=$1.93
[2026-08-18T18:31:43.528010+00:00] B-s4: R2:R2P3 done ctx=46013 cost=$1.45
[2026-08-18T18:31:43.877617+00:00] B-s3: R2:R2P3 done ctx=55066 cost=$1.63
[2026-08-18T18:32:14.012582+00:00] B-s2: R2:R2P3 done ctx=77056 cost=$1.79
[2026-08-18T18:33:22.262088+00:00] C-s1: R2:R2P3 done ctx=61972 cost=$1.78
[2026-08-18T18:33:52.496767+00:00] C-s3: R2:R2P3 done ctx=93856 cost=$2.56
[2026-08-18T18:33:55.971585+00:00] B-s5: R2:R2P3 done ctx=77357 cost=$1.95
[2026-08-18T18:34:08.423019+00:00] C-s4: R2:R2P3 done ctx=41015 cost=$1.35
[2026-08-18T18:34:09.938362+00:00] C-s2: R2:R2P3 done ctx=69573 cost=$1.42
[2026-08-18T18:34:48.371046+00:00] D-s2: R2:R2P3 done ctx=51985 cost=$1.19
[2026-08-18T18:35:12.353182+00:00] D-s1: R2:R2P3 done ctx=70390 cost=$0.94
[2026-08-18T18:36:07.939490+00:00] D-s3: R2:R2P3 done ctx=65798 cost=$1.90
[2026-08-18T18:36:18.864596+00:00] D-s4: R2:R2P3 done ctx=59431 cost=$1.17
[2026-08-18T18:36:20.797318+00:00] C-s5: R2:R2P3 done ctx=63723 cost=$2.10
[2026-08-18T18:36:54.058432+00:00] D-s5: R2:R2P3 done ctx=55963 cost=$1.69
[2026-08-18T18:36:54.058870+00:00] probe R2P3 round 2 complete
[2026-08-18T18:37:05.485075+00:00] A-s3: R2:R2P4 done ctx=45842 cost=$1.43
[2026-08-18T18:37:40.036767+00:00] A-s4: R2:R2P4 done ctx=86356 cost=$2.94
[2026-08-18T18:38:00.865805+00:00] A-s1: R2:R2P4 done ctx=73502 cost=$2.95
[2026-08-18T18:38:15.112924+00:00] A-s2: R2:R2P4 done ctx=93513 cost=$2.83
[2026-08-18T18:38:24.397217+00:00] B-s2: R2:R2P4 done ctx=77831 cost=$1.80
[2026-08-18T18:38:34.877494+00:00] B-s3: R2:R2P4 done ctx=55738 cost=$1.64
[2026-08-18T18:38:42.999844+00:00] B-s4: R2:R2P4 done ctx=47116 cost=$1.46
[2026-08-18T18:38:48.693370+00:00] B-s1: R2:R2P4 done ctx=60823 cost=$1.71
[2026-08-18T18:38:50.753741+00:00] A-s5: R2:R2P4 done ctx=75874 cost=$2.09
[2026-08-18T18:39:30.464854+00:00] C-s2: R2:R2P4 done ctx=75349 cost=$1.50
[2026-08-18T18:39:48.113657+00:00] C-s1: R2:R2P4 done ctx=71386 cost=$1.91
[2026-08-18T18:40:01.409154+00:00] B-s5: R2:R2P4 done ctx=88154 cost=$2.12
[2026-08-18T18:40:06.801035+00:00] C-s3: R2:R2P4 done ctx=98968 cost=$2.65
[2026-08-18T18:40:35.199154+00:00] C-s4: R2:R2P4 done ctx=53269 cost=$1.44
[2026-08-18T18:41:00.339271+00:00] D-s1: R2:R2P4 done ctx=79695 cost=$1.09
[2026-08-18T18:41:01.501978+00:00] C-s5: R2:R2P4 done ctx=72229 cost=$2.20
[2026-08-18T18:41:20.277366+00:00] D-s2: R2:R2P4 done ctx=60285 cost=$1.28
[2026-08-18T18:41:39.716697+00:00] D-s3: R2:R2P4 done ctx=72524 cost=$2.00
[2026-08-18T18:41:46.157278+00:00] D-s4: R2:R2P4 done ctx=66812 cost=$1.28
[2026-08-18T18:42:03.548941+00:00] D-s5: R2:R2P4 done ctx=65042 cost=$1.77
[2026-08-18T18:42:03.549442+00:00] probe R2P4 round 2 complete
[adjudication] 2026-08-18 P2 R2P4: B-s2/s3/s4 flagged (frozen retract); B-s1/B-s5 + all A/C/D silently built.
[2026-08-18T18:42:33.429332+00:00] B-s4: R2:R2P4-reply done ctx=47727 cost=$1.47
[2026-08-18T18:42:34.301623+00:00] B-s2: R2:R2P4-reply done ctx=78545 cost=$1.81
[2026-08-18T18:42:35.323436+00:00] B-s3: R2:R2P4-reply done ctx=56478 cost=$1.65
[2026-08-18T18:42:35.323900+00:00] reply R2P4 complete
[2026-08-18T18:43:39.208587+00:00] A-s1: R2:R2P5 done ctx=82508 cost=$3.08
[2026-08-18T18:44:07.930912+00:00] A-s2: R2:R2P5 done ctx=105280 cost=$3.06
[2026-08-18T18:44:22.498924+00:00] A-s4: R2:R2P5 done ctx=94757 cost=$3.07
[2026-08-18T18:44:37.537663+00:00] A-s3: R2:R2P5 done ctx=67693 cost=$1.69
[2026-08-18T18:44:43.165954+00:00] B-s1: R2:R2P5 done ctx=61591 cost=$1.72
[2026-08-18T18:45:25.207446+00:00] A-s5: R2:R2P5 done ctx=88477 cost=$2.32
[2026-08-18T18:45:46.518092+00:00] B-s3: R2:R2P5 done ctx=65269 cost=$1.78
[2026-08-18T18:46:00.862003+00:00] B-s2: R2:R2P5 done ctx=89446 cost=$2.00
[2026-08-18T18:46:24.267461+00:00] B-s4: R2:R2P5 done ctx=60354 cost=$1.60
[2026-08-18T18:46:32.425168+00:00] B-s5: R2:R2P5 done ctx=95108 cost=$2.24
[2026-08-18T18:47:14.660378+00:00] C-s2: R2:R2P5 done ctx=82100 cost=$1.59
[2026-08-18T18:47:15.300820+00:00] C-s1: R2:R2P5 done ctx=81727 cost=$2.12
[2026-08-18T18:48:17.232361+00:00] C-s4: R2:R2P5 done ctx=64046 cost=$1.57
[2026-08-18T18:48:23.563689+00:00] C-s5: R2:R2P5 done ctx=81730 cost=$2.32
[2026-08-18T18:48:25.504274+00:00] C-s3: R2:R2P5 done ctx=115059 cost=$2.91
[2026-08-18T18:49:06.897794+00:00] D-s1: R2:R2P5 done ctx=87187 cost=$1.20
[2026-08-18T18:49:10.339708+00:00] D-s3: R2:R2P5 done ctx=79055 cost=$2.11
[2026-08-18T18:49:21.322591+00:00] D-s2: R2:R2P5 done ctx=69368 cost=$1.40
[2026-08-18T18:49:52.795403+00:00] D-s4: R2:R2P5 done ctx=73565 cost=$1.38
[2026-08-18T18:50:06.543882+00:00] D-s5: R2:R2P5 done ctx=75544 cost=$1.89
[2026-08-18T18:50:06.544790+00:00] probe R2P5 round 2 complete
[2026-08-18T18:50:24.080901+00:00] A-s2: R2:R2P6 done ctx=106292 cost=$3.07
[2026-08-18T18:50:38.231662+00:00] A-s3: R2:R2P6 done ctx=72198 cost=$1.74
[2026-08-18T18:50:44.400079+00:00] A-s1: R2:R2P6 done ctx=88200 cost=$3.14
[2026-08-18T18:50:54.005917+00:00] A-s5: R2:R2P6 done ctx=90747 cost=$2.35
[2026-08-18T18:50:58.047046+00:00] A-s4: R2:R2P6 done ctx=99734 cost=$3.31
[2026-08-18T18:51:10.393528+00:00] B-s3: R2:R2P6 done ctx=66069 cost=$1.79
[2026-08-18T18:51:28.744224+00:00] B-s4: R2:R2P6 done ctx=61164 cost=$1.61
[2026-08-18T18:51:32.937169+00:00] B-s2: R2:R2P6 done ctx=96427 cost=$2.08
[2026-08-18T18:51:49.418874+00:00] B-s5: R2:R2P6 done ctx=95973 cost=$2.26
[2026-08-18T18:51:59.837656+00:00] B-s1: R2:R2P6 done ctx=74272 cost=$1.91
[2026-08-18T18:52:16.829842+00:00] C-s1: R2:R2P6 done ctx=88330 cost=$2.19
[2026-08-18T18:52:20.848765+00:00] C-s3: R2:R2P6 done ctx=116772 cost=$2.95
[2026-08-18T18:52:22.773884+00:00] C-s2: R2:R2P6 done ctx=88045 cost=$1.68
[2026-08-18T18:52:35.053727+00:00] C-s4: R2:R2P6 done ctx=64919 cost=$1.58
[2026-08-18T18:52:37.307971+00:00] C-s5: R2:R2P6 done ctx=82607 cost=$2.33
[2026-08-18T18:52:40.774165+00:00] D-s1: R2:R2P6 done ctx=88052 cost=$1.22
[2026-08-18T18:52:51.061068+00:00] D-s2: R2:R2P6 done ctx=70147 cost=$1.41
[2026-08-18T18:53:01.283912+00:00] D-s3: R2:R2P6 done ctx=79851 cost=$2.12
[2026-08-18T18:53:01.640515+00:00] D-s4: R2:R2P6 done ctx=74419 cost=$1.40
[2026-08-18T18:53:03.633786+00:00] D-s5: R2:R2P6 done ctx=76448 cost=$1.91
[2026-08-18T18:53:03.634218+00:00] probe R2P6 round 2 complete
[2026-08-18T18:53:04.187418+00:00] archived 20 lineage transcripts label=final
